pt,ijgcm,tcount,time,lat,lon,veg,litlyr_unprotect_rhiz(LABILE),litlyr_unprotect_rhiz(RECALCTRNT),litlyr_unprotect_rhiz(DEADMICRB),litlyr_unprotect_bulk(LABILE),litlyr_unprotect_bulk(RECALCTRNT),litlyr_unprotect_bulk(DEADMICRB),litlyr_protect_rhiz(LABILE),litlyr_protect_rhiz(RECALCTRNT),litlyr_protect_rhiz(DEADMICRB),litlyr_protect_bulk(LABILE),litlyr_protect_bulk(RECALCTRNT),litlyr_protect_bulk(DEADMICRB),litlyr_livingMicrobeC_rhiz,litlyr_livingMicrobeC_bulk,litlyr_CO2_rhiz,litlyr_CO2_bulk,protection_rate,Qmax,litlyr_DOC(LABILE),litlyr_DOC(RECALCTRNT),litlyr_DOC(RECALCTRNT),soil_1_unprotect_rhiz(LABILE),soil_1_unprotect_rhiz(RECALCTRNT),soil_1_unprotect_rhiz(DEADMICRB),soil_1_unprotect_bulk(LABILE),soil_1_unprotect_bulk(RECALCTRNT),soil_1_unprotect_bulk(DEADMICRB),soil_1_protect_rhiz(LABILE),soil_1_protect_rhiz(RECALCTRNT),soil_1_protect_rhiz(DEADMICRB),soil_1_protect_bulk(LABILE),soil_1_protect_bulk(RECALCTRNT),soil_1_protect_bulk(DEADMICRB),soil_1_livingMicrobeC_rhiz,soil_1_livingMicrobeC_bulk,soil_1_CO2_rhiz,soil_1_CO2_bulk,protection_rate,Qmax,soil_1_DOC(LABILE),soil_1_DOC(RECALCTRNT),soil_1_DOC(RECALCTRNT)
     1,    10,  9980, 9980.00,  -72.95,    0.00,    15,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.289157,          0.000000,          0.000000,          0.000000,
     2,    12,  9980, 9980.00,  -69.16,    0.00,    17,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.289157,          0.000000,          0.000000,          0.000000,
     3,    51,  9980, 9980.00,    4.74,    0.00,    17,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.703979,          0.000000,          0.000000,          0.000000,
     4,    52,  9980, 9980.00,    6.63,    0.00,     8,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.004741,          0.097369,          0.007472,          0.009249,          0.229268,          0.014465,          0.094448,          0.036835,          1.385161,          0.175281,          0.086825,          2.606972,          0.022591,          0.043902,       1639.892004,       3347.479823,          1.500000,          1.704512,          0.000000,          0.000000,          0.000000,
     5,    53,  9980, 9980.00,    8.53,    0.00,     8,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.004165,          0.081595,          0.006328,          0.007843,          0.192103,          0.011832,          0.075641,          0.028233,          1.126054,          0.138160,          0.066488,          2.089532,          0.023614,          0.044047,       1557.006965,       3153.691644,          1.500000,          1.601327,          0.000000,          0.000000,          0.000000,
     6,    54,  9980, 9980.00,   10.42,    0.00,     9,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.005609,          0.095161,          0.007399,          0.011312,          0.223605,          0.014494,          0.101724,          0.037406,          1.510954,          0.196187,          0.087910,          2.948566,          0.027333,          0.053747,       1757.505566,       3668.565345,          1.500000,          1.844797,          0.000000,          0.000000,          0.000000,
     7,    55,  9980, 9980.00,   12.32,    0.00,     9,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.006536,          0.079974,          0.007006,          0.013386,          0.188795,          0.013797,          0.079218,          0.025632,          1.098238,          0.155129,          0.060527,          2.169955,          0.014472,          0.028609,        906.038961,       1897.472724,          1.500000,          1.437262,          0.000000,          0.000000,          0.000000,
     8,    56,  9980, 9980.00,   14.21,    0.00,    10,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.002300,          0.032736,          0.003013,          0.004643,          0.077566,          0.005967,          0.030236,          0.008718,          0.400179,          0.059448,          0.020662,          0.793151,          0.004356,          0.008593,        277.923905,        580.910038,          1.500000,          1.154448,          0.000000,          0.000000,          0.000000,
     9,    57,  9980, 9980.00,   16.11,    0.00,     7,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000679,          0.021343,          0.001213,          0.001294,          0.052026,          0.002313,          0.012536,          0.005006,          0.168752,          0.023650,          0.012167,          0.323463,          0.001847,          0.003429,        106.054388,        217.559073,          1.500000,          0.983128,          0.000000,          0.000000,          0.000000,
    10,    58,  9980, 9980.00,   18.00,    0.00,    16,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000001,          0.000010,          0.000001,          0.000002,          0.000026,          0.000002,          0.000003,          0.000002,          0.000049,          0.000006,          0.000006,          0.000107,          0.000001,          0.000003,          0.016330,          0.035548,          1.500000,          1.297694,          0.000000,          0.000000,          0.000000,
