ijcam,lat,lon,ivt_igbp,ist,iso,landarea,Ndep,Nfix,Pwea, Pdust,doyP1,doyP2,doyP3,doyP4,Phase(1),ivcasa,ilat,ilo
10,-72.95,0,15,-99,1,17175409664,0.00178,0.1,0,0,-99,-99,-99,-99,-99,-99,10,1
12,-69.16,0,17,-99,1,2480204288,0.00389,0.1,0,0,-99,-99,-99,-99,-99,-99,12,1
51,4.74,0,17,-99,1,6659755520,0.31982,0.1,0,0,-99,-99,-99,-99,-99,-99,51,1
52,6.63,0,8,-99,1,54444019712,0.52942,0.1,0,0,-99,-99,-99,-99,-99,-99,52,1
53,8.53,0,8,-99,1,57921855488,0.49327,0.1,0,0,-99,-99,-99,-99,-99,-99,53,1
54,10.42,0,9,-99,1,57603076096,0.45806,0.1,0,0,-99,-99,-99,-99,-99,-99,54,1
55,12.32,0,9,-99,1,57221304320,0.35149,0.1,0,0,-99,-99,-99,-99,-99,-99,55,1
56,14.21,0,10,-99,1,56776970240,0.30069,0.1,0,0,-99,-99,-99,-99,-99,-99,56,1
57,16.11,0,7,-99,1,56270544896,0.17994,0.1,0,0,-99,-99,-99,-99,-99,-99,57,1
58,18,0,16,-99,1,55702589440,0.0958,0.1,0,0,-99,-99,-99,-99,-99,-99,58,1
59,19.89,0,16,-99,1,55073726464,0.06553,0.1,0,0,-99,-99,-99,-99,-99,-99,59,1
60,21.79,0,16,-99,1,54384635904,0.05185,0.1,0,0,-99,-99,-99,-99,-99,-99,60,1
61,23.68,0,16,-99,1,53636083712,0.04878,0.1,0,0,-99,-99,-99,-99,-99,-99,61,1
62,25.58,0,16,-99,1,52828876800,0.05484,0.1,0,0,-99,-99,-99,-99,-99,-99,62,1
63,27.47,0,16,-99,1,51963904000,0.07415,0.1,0,0,-99,-99,-99,-99,-99,-99,63,1
64,29.37,0,16,-99,1,51042107392,0.07809,0.1,0,0,-99,-99,-99,-99,-99,-99,64,1
65,31.26,0,16,-99,1,50064498688,0.0993,0.1,0,0,-99,-99,-99,-99,-99,-99,65,1
66,33.16,0,16,-99,1,49032142848,0.21576,0.1,0,0,-99,-99,-99,-99,-99,-99,66,1
67,35.05,0,14,-99,1,45234032640,0.3823,0.1,0,0,-99,-99,-99,-99,-99,-99,67,1
68,36.95,0,17,-99,1,4285138176,0.26086,0.1,0,0,-99,-99,-99,-99,-99,-99,68,1
69,38.84,0,17,-99,1,16234231808,0.57644,0.1,0,0,-99,-99,-99,-99,-99,-99,69,1
70,40.74,0,12,-99,1,32493418496,1.19579,0.1,0,0,-99,-99,-99,-99,-99,-99,70,1
71,42.63,0,14,-99,1,43090739200,0.95277,0.1,0,0,-99,-99,-99,-99,-99,-99,71,1
72,44.53,0,14,-99,1,35916378112,0.95595,0.1,0,0,-99,-99,-99,-99,-99,-99,72,1
73,46.42,0,14,-99,1,37972877312,1.45953,0.1,0,0,-99,-99,-99,-99,-99,-99,73,1
