ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
    10, -72.95,   0.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
    12, -69.16,   0.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
    51,   4.74,   0.00, 0.51558, 0.30924, 0.17518, 0.16805, 0.26930, 0.42488,
    52,   6.63,   0.00, 0.51558, 0.30924, 0.17518, 0.16805, 0.26912, 0.42470,
    53,   8.53,   0.00, 0.49755, 0.27393, 0.22851, 0.15267, 0.26383, 0.42691,
    54,  10.42,   0.00, 0.46094, 0.37343, 0.16563, 0.19827, 0.28695, 0.43160,
    55,  12.32,   0.00, 0.59583, 0.20952, 0.19466, 0.11874, 0.23482, 0.41448,
    56,  14.21,   0.00, 0.66944, 0.12878, 0.20178, 0.09398, 0.20150, 0.40497,
    57,  16.11,   0.00, 0.82552, 0.08630, 0.08818, 0.09595, 0.16829, 0.38512,
    58,  18.00,   0.00, 0.62355, 0.16733, 0.20911, 0.10262, 0.21944, 0.41065,
    59,  19.89,   0.00, 0.26047, 0.14148, 0.59805, 0.16539, 0.25757, 0.45634,
    60,  21.79,   0.00, 0.63117, 0.11395, 0.25488, 0.10316, 0.20038, 0.40962,
    61,  23.68,   0.00, 0.40156, 0.12828, 0.47016, 0.13873, 0.23391, 0.43859,
    62,  25.58,   0.00, 0.40156, 0.12828, 0.47016, 0.13873, 0.23390, 0.43858,
    63,  27.47,   0.00, 0.40156, 0.12828, 0.47016, 0.13873, 0.23393, 0.43860,
    64,  29.37,   0.00, 0.90000, 0.05000, 0.05000, 0.09621, 0.14621, 0.37578,
    65,  31.26,   0.00, 0.50942, 0.24681, 0.24377, 0.14054, 0.25569, 0.42500,
    66,  33.16,   0.00, 0.37265, 0.23922, 0.38812, 0.15125, 0.27188, 0.44228,
    67,  35.05,   0.00, 0.42540, 0.25235, 0.32224, 0.14970, 0.26843, 0.43596,
    68,  36.95,   0.00, 0.41702, 0.26618, 0.31680, 0.15528, 0.27296, 0.43714,
    69,  38.84,   0.00, 0.30936, 0.24932, 0.44132, 0.16174, 0.28346, 0.45064,
    70,  40.74,   0.00, 0.30936, 0.24932, 0.44132, 0.16174, 0.28344, 0.45065,
    71,  42.63,   0.00, 0.36816, 0.23822, 0.39362, 0.15152, 0.27254, 0.44370,
    72,  44.53,   0.00, 0.70009, 0.06051, 0.23940, 0.12323, 0.17323, 0.40300,
    73,  46.42,   0.00, 0.30650, 0.23666, 0.45683, 0.15923, 0.28076, 0.45141,
    74,  48.32,   0.00, 0.30650, 0.23666, 0.45683, 0.15923, 0.28101, 0.45178,
    75,  50.21,   0.00, 0.39864, 0.23382, 0.36754, 0.14666, 0.26796, 0.44012,
    76,  52.11,   0.00, 0.51227, 0.25048, 0.23725, 0.14182, 0.25750, 0.42585,
    77,  54.00,   0.00, 0.45255, 0.29154, 0.25591, 0.16256, 0.27429, 0.43306,
   106, -72.95,   2.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   108, -69.16,   2.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   148,   6.63,   2.50, 0.36901, 0.43629, 0.19470, 0.22193, 0.31113, 0.44339,
   149,   8.53,   2.50, 0.42681, 0.40788, 0.16531, 0.21266, 0.29709, 0.43588,
   150,  10.42,   2.50, 0.42681, 0.40788, 0.16531, 0.21266, 0.29710, 0.43589,
   151,  12.32,   2.50, 0.82552, 0.08630, 0.08818, 0.09595, 0.16880, 0.38538,
   152,  14.21,   2.50, 0.82552, 0.08630, 0.08818, 0.09595, 0.16831, 0.38513,
   153,  16.11,   2.50, 0.82552, 0.08630, 0.08818, 0.09595, 0.16836, 0.38516,
   154,  18.00,   2.50, 0.26047, 0.14148, 0.59805, 0.16539, 0.25757, 0.45633,
   155,  19.89,   2.50, 0.75954, 0.10967, 0.13078, 0.08717, 0.18409, 0.39340,
   156,  21.79,   2.50, 0.75954, 0.10967, 0.13078, 0.08717, 0.18407, 0.39338,
   157,  23.68,   2.50, 0.75954, 0.10967, 0.13078, 0.08717, 0.18406, 0.39338,
   158,  25.58,   2.50, 0.40156, 0.12828, 0.47016, 0.13873, 0.23383, 0.43850,
   159,  27.47,   2.50, 0.40156, 0.12828, 0.47016, 0.13873, 0.23387, 0.43854,
   160,  29.37,   2.50, 0.26904, 0.16886, 0.56210, 0.15893, 0.26581, 0.45528,
   161,  31.26,   2.50, 0.90000, 0.05000, 0.05000, 0.09613, 0.14613, 0.37574,
   162,  33.16,   2.50, 0.50942, 0.24681, 0.24377, 0.14054, 0.25571, 0.42502,
   163,  35.05,   2.50, 0.42782, 0.24144, 0.33074, 0.14581, 0.26515, 0.43539,
   164,  36.95,   2.50, 0.41702, 0.26618, 0.31680, 0.15528, 0.27300, 0.43717,
   166,  40.74,   2.50, 0.36816, 0.23822, 0.39362, 0.15152, 0.27252, 0.44346,
   167,  42.63,   2.50, 0.36816, 0.23822, 0.39362, 0.15152, 0.27260, 0.44386,
   168,  44.53,   2.50, 0.45003, 0.24286, 0.30712, 0.14410, 0.26351, 0.43422,
   169,  46.42,   2.50, 0.45003, 0.24286, 0.30712, 0.14410, 0.26354, 0.43426,
   170,  48.32,   2.50, 0.30650, 0.23666, 0.45683, 0.15923, 0.28086, 0.45162,
   171,  50.21,   2.50, 0.39864, 0.23382, 0.36754, 0.14666, 0.26803, 0.44016,
   172,  52.11,   2.50, 0.44101, 0.30636, 0.25263, 0.16924, 0.27901, 0.43434,
   203, -71.05,   5.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   204, -69.16,   5.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   243,   4.74,   5.00, 0.40204, 0.31475, 0.28321, 0.17440, 0.28674, 0.44008,
   244,   6.63,   5.00, 0.36937, 0.44615, 0.18448, 0.22571, 0.31312, 0.44333,
   245,   8.53,   5.00, 0.42681, 0.40788, 0.16531, 0.21266, 0.29710, 0.43588,
   246,  10.42,   5.00, 0.35534, 0.52262, 0.12204, 0.25296, 0.31997, 0.44485,
   247,  12.32,   5.00, 0.37663, 0.43853, 0.18484, 0.22313, 0.30890, 0.44189,
   248,  14.21,   5.00, 0.71998, 0.13748, 0.14254, 0.08760, 0.19830, 0.39849,
   249,  16.11,   5.00, 0.87470, 0.09457, 0.03073, 0.08250, 0.16611, 0.37890,
   250,  18.00,   5.00, 0.26047, 0.14148, 0.59805, 0.16539, 0.25755, 0.45632,
   251,  19.89,   5.00, 0.75954, 0.10967, 0.13078, 0.08717, 0.18410, 0.39340,
   252,  21.79,   5.00, 0.75954, 0.10967, 0.13078, 0.08717, 0.18396, 0.39333,
   253,  23.68,   5.00, 0.75954, 0.10967, 0.13078, 0.08717, 0.18395, 0.39332,
   254,  25.58,   5.00, 0.90000, 0.05000, 0.05000, 0.09597, 0.14597, 0.37567,
   255,  27.47,   5.00, 0.27422, 0.16732, 0.55846, 0.15794, 0.26448, 0.45464,
   256,  29.37,   5.00, 0.90000, 0.05000, 0.05000, 0.09619, 0.14619, 0.37576,
   257,  31.26,   5.00, 0.50942, 0.24681, 0.24377, 0.14054, 0.25570, 0.42502,
   258,  33.16,   5.00, 0.50942, 0.24681, 0.24377, 0.14054, 0.25569, 0.42500,
   259,  35.05,   5.00, 0.42782, 0.24144, 0.33074, 0.14581, 0.26512, 0.43535,
   260,  36.95,   5.00, 0.42415, 0.26881, 0.30704, 0.15564, 0.27248, 0.43620,
   263,  42.63,   5.00, 0.50746, 0.28422, 0.20831, 0.15671, 0.26483, 0.42581,
   264,  44.53,   5.00, 0.34416, 0.24286, 0.41299, 0.15570, 0.27737, 0.44699,
   265,  46.42,   5.00, 0.49763, 0.26371, 0.23867, 0.14832, 0.26208, 0.42780,
   266,  48.32,   5.00, 0.43897, 0.27428, 0.28676, 0.15655, 0.27118, 0.43469,
   267,  50.21,   5.00, 0.48955, 0.22360, 0.28685, 0.13362, 0.25293, 0.42863,
   268,  52.11,   5.00, 0.61543, 0.10056, 0.28401, 0.11339, 0.20151, 0.41570,
   269,  54.00,   5.00, 0.37094, 0.23407, 0.39500, 0.15006, 0.27209, 0.44451,
   271,  57.79,   5.00, 0.63981, 0.14924, 0.21095, 0.09774, 0.21320, 0.41176,
   272,  59.68,   5.00, 0.61562, 0.14967, 0.23470, 0.10079, 0.21642, 0.41598,
   273,  61.58,   5.00, 0.61562, 0.14967, 0.23470, 0.10079, 0.21639, 0.41594,
   299, -71.05,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   300, -69.16,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   336,  -0.95,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   339,   4.74,   7.50, 0.41242, 0.41229, 0.17529, 0.21402, 0.30249, 0.43829,
   340,   6.63,   7.50, 0.44830, 0.35081, 0.20089, 0.18807, 0.28630, 0.43339,
   341,   8.53,   7.50, 0.50456, 0.26449, 0.23095, 0.14821, 0.26076, 0.42611,
   342,  10.42,   7.50, 0.42531, 0.41526, 0.15943, 0.21577, 0.29955, 0.43600,
   343,  12.32,   7.50, 0.66234, 0.25283, 0.08483, 0.13537, 0.23645, 0.40584,
   344,  14.21,   7.50, 0.87470, 0.09457, 0.03073, 0.08250, 0.16614, 0.37891,
   345,  16.11,   7.50, 0.75639, 0.07534, 0.16827, 0.12145, 0.17145, 0.39385,
