iYrCnt,npt,veg%iveg,casamet%lat,casamet%lon,casamet%areacell,mimicspool%LITm,mimicspool%LITs,mimicspool%MICr,mimicspool%MICk,mimicspool%SOMa,mimicspool%SOMc,mimicspool%SOMp
     1,       1,      15,      -72.9500000000,        0.0000000000,       17.1754096640,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,       2,      17,      -69.1600000000,        0.0000000000,        2.4802042880,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,       3,      17,        4.7400000000,        0.0000000000,        6.6597555200,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,       4,       8,        6.6300000000,        0.0000000000,       54.4440197120,        0.4197839480,        1.3478879430,        0.0548970855,        0.0623777299,        1.1245995891,        1.7106752147,        2.2903144479,
     1,       5,       8,        8.5300000000,        0.0000000000,       57.9218554880,        0.3796968216,        1.2295892989,        0.0452221687,        0.0533816796,        0.9718934412,        1.5882023500,        1.9333356074,
     1,       6,       9,       10.4200000000,        0.0000000000,       57.6030760960,        0.4005397447,        1.2374310105,        0.0553321286,        0.0645599970,        1.1321837063,        1.5471830739,        3.0245859189,
     1,       7,       9,       12.3200000000,        0.0000000000,       57.2213043200,        0.3718187053,        1.1442622060,        0.0502519279,        0.0541773331,        0.8393438897,        1.4868508957,        0.9475698916,
     1,       8,      10,       14.2100000000,        0.0000000000,       56.7769702400,        0.2937675572,        0.8907715708,        0.0219645109,        0.0240816620,        0.5658337883,        1.2505069008,        0.2324745301,
     1,       9,       7,       16.1100000000,        0.0000000000,       56.2705448960,        0.1693643109,        0.6473262867,        0.0164582054,        0.0226216265,        0.3387161772,        1.0093894431,        0.0757096089,
     1,      10,      16,       18.0000000000,        0.0000000000,       55.7025894400,        0.0229704724,        0.0964189814,        0.0000000000,        0.0000000000,        0.4268363791,        0.7717969027,        0.0000025696,
     1,      11,      16,       19.8900000000,        0.0000000000,       55.0737264640,        0.0020619562,        0.1019861670,        0.0000000000,        0.0000000000,        0.4246338408,        0.8115173205,        0.0000000000,
     1,      12,      16,       21.7900000000,        0.0000000000,       54.3846359040,        0.0023672595,        0.1083180088,        0.0000000000,        0.0000000000,        0.4052441000,        0.8214596178,        0.0000000000,
     1,      13,      16,       23.6800000000,        0.0000000000,       53.6360837120,        0.0019317715,        0.0929032019,        0.0000000000,        0.0000000000,        0.4167475082,        0.8060022784,        0.0000000000,
     1,      14,      16,       25.5800000000,        0.0000000000,       52.8288768000,        0.0025688986,        0.1017160447,        0.0000000000,        0.0000000000,        0.4317910856,        0.8189743092,        0.0000000004,
     1,      15,      16,       27.4700000000,        0.0000000000,       51.9639040000,        0.0037651762,        0.1056950423,        0.0000000000,        0.0000000000,        0.4407344767,        0.8245887021,        0.0000000678,
     1,      16,      16,       29.3700000000,        0.0000000000,       51.0421073920,        0.1427332985,        0.4626040029,        0.0004851417,        0.0015693559,        0.2770754242,        0.9322486884,        0.0007062581,
     1,      17,      16,       31.2600000000,        0.0000000000,       50.0644986880,        0.0151544108,        0.0953157598,        0.0000000000,        0.0000000000,        0.7262117143,        0.8470592126,        0.0000000000,
     1,      18,      16,       33.1600000000,        0.0000000000,       49.0321428480,        0.1976422652,        0.6483102969,        0.0002370252,        0.0004976251,        0.5614299373,        1.2213198239,        0.0053009936,
     1,      19,      14,       35.0500000000,        0.0000000000,       45.2340326400,        0.4982326823,        1.3473774698,        0.0338114073,        0.0206186865,        1.1075118590,        1.8700962814,        0.5333532957,
     1,      20,      17,       36.9500000000,        0.0000000000,        4.2851381760,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      21,      17,       38.8400000000,        0.0000000000,       16.2342318080,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      22,      12,       40.7400000000,        0.0000000000,       32.4934184960,        0.6559015838,        2.1222864198,        0.0239411435,        0.0286569362,        1.6197014239,        2.8991242978,        0.9202698581,
     1,      23,      14,       42.6300000000,        0.0000000000,       43.0907392000,        1.3885464801,        3.4456420239,        0.0827396330,        0.0907642948,        2.9555340585,        3.4958828676,        3.2523447273,
     1,      24,      14,       44.5300000000,        0.0000000000,       35.9163781120,        1.8435272582,        4.2877875238,        0.1361267030,        0.1389792661,        3.2088337790,        3.8303330228,        2.0702359870,
     1,      25,      14,       46.4200000000,        0.0000000000,       37.9728773120,        1.3687110568,        3.3749328596,        0.0891016613,        0.0996253642,        2.9056482333,        3.3736099271,        3.5699844716,
     1,      26,      12,       48.3200000000,        0.0000000000,       38.9499371520,        1.4459601341,        4.1362360645,        0.0983674352,        0.1156351567,        3.2442186829,        4.0380862281,        3.8155473843,
     1,      27,      17,       50.2100000000,        0.0000000000,       11.5823851520,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      28,      12,       52.1100000000,        0.0000000000,       32.7829606400,        1.1831357523,        3.6155214488,        0.0594423201,        0.0687230012,        2.7753858666,        4.0972222838,        2.2984184616,
     1,      29,      17,       54.0000000000,        0.0000000000,        9.7759324160,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      30,      15,      -72.9500000000,        2.5000000000,       17.1754096640,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      31,      17,      -69.1600000000,        2.5000000000,        2.4802042880,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      32,       8,        6.6300000000,        2.5000000000,       38.8594032640,        0.4256317471,        1.3172314331,        0.0557238672,        0.0665539624,        1.3005504720,        1.6495224513,        3.8243000308,
     1,      33,       8,        8.5300000000,        2.5000000000,       57.9218554880,        0.4071604676,        1.2804978552,        0.0480618370,        0.0583456602,        1.2365324377,        1.6455225806,        3.1323514125,
     1,      34,       8,       10.4200000000,        2.5000000000,       57.6030760960,        0.3864428431,        1.2019293915,        0.0464560748,        0.0542274598,        1.1781140296,        1.5723151335,        2.8652410206,
     1,      35,       9,       12.3200000000,        2.5000000000,       57.2213043200,        0.5547924286,        1.5418369247,        0.1310709882,        0.1309090620,        1.0229103260,        1.6410424148,        0.5912851195,
