ktau,npt,veg%iveg,casamet%lat,casamet%lon,casamet%areacell,mimicspool%LITm,mimicspool%LITs,mimicspool%MICr,mimicspool%MICk,mimicspool%SOMa,mimicspool%SOMc,mimicspool%SOMp
7,1,15,-72.95,0,17.17540918,1,1,0.015,0.025,1,1,0
7,2,17,-69.16,0,2.480204218,1,1,0.015,0.025,1,1,0
7,3,17,4.74,0,6.659755332,1,1,0.015,0.025,1,1,0
7,4,8,6.63,0,54.44401817,1,1,0.015,0.025,1,1,0
7,5,8,8.53,0,57.92185385,1,1,0.015,0.025,1,1,0
7,6,9,10.42,0,57.60307447,1,1,0.015,0.025,1,1,0
7,7,9,12.32,0,57.2213027,1,1,0.015,0.025,1,1,0
7,8,10,14.21,0,56.77696863,1,1,0.015,0.025,1,1,0
7,9,7,16.11,0,56.2705433,1,1,0.015,0.025,1,1,0
7,10,16,18,0,55.70258786,1,1,0.015,0.025,1,1,0
7,11,16,19.89,0,55.07372491,1,1,0.015,0.025,1,1,0
7,12,16,21.79,0,54.38463437,1,1,0.015,0.025,1,1,0
7,13,16,23.68,0,53.6360822,1,1,0.015,0.025,1,1,0
7,14,16,25.58,0,52.82887531,1,1,0.015,0.025,1,1,0
7,15,16,27.47,0,51.96390253,1,1,0.015,0.025,1,1,0
7,16,16,29.37,0,51.04210595,1,1,0.015,0.025,1,1,0
7,17,16,31.26,0,50.06449727,1,1,0.015,0.025,1,1,0
7,18,16,33.16,0,49.03214146,1,1,0.015,0.025,1,1,0
7,19,14,35.05,0,45.23403136,1,1,0.015,0.025,1,1,0
7,20,17,36.95,0,4.285138055,1,1,0.015,0.025,1,1,0
7,21,17,38.84,0,16.23423135,1,1,0.015,0.025,1,1,0
7,22,12,40.74,0,32.49341758,1,1,0.015,0.025,1,1,0
7,23,14,42.63,0,43.09073798,1,1,0.015,0.025,1,1,0
7,24,14,44.53,0,35.9163771,1,1,0.015,0.025,1,1,0
7,25,14,46.42,0,37.97287624,1,1,0.015,0.025,1,1,0
7,26,12,48.32,0,38.94993605,1,1,0.015,0.025,1,1,0
7,27,17,50.21,0,11.58238482,1,1,0.015,0.025,1,1,0
7,28,12,52.11,0,32.78295971,1,1,0.015,0.025,1,1,0
7,29,17,54,0,9.77593214,1,1,0.015,0.025,1,1,0
7,30,15,-72.95,2.5,17.17540918,1,1,0.015,0.025,1,1,0
7,31,17,-69.16,2.5,2.480204218,1,1,0.015,0.025,1,1,0
7,32,8,6.63,2.5,38.85940217,1,1,0.015,0.025,1,1,0
7,33,8,8.53,2.5,57.92185385,1,1,0.015,0.025,1,1,0
7,34,8,10.42,2.5,57.60307447,1,1,0.015,0.025,1,1,0
7,35,9,12.32,2.5,57.2213027,1,1,0.015,0.025,1,1,0
7,36,10,14.21,2.5,56.77696863,1,1,0.015,0.025,1,1,0
7,37,7,16.11,2.5,56.2705433,1,1,0.015,0.025,1,1,0
7,38,16,18,2.5,55.70258786,1,1,0.015,0.025,1,1,0
7,39,16,19.89,2.5,55.07372491,1,1,0.015,0.025,1,1,0
7,40,16,21.79,2.5,54.38463437,1,1,0.015,0.025,1,1,0
7,41,16,23.68,2.5,53.6360822,1,1,0.015,0.025,1,1,0
7,42,16,25.58,2.5,52.82887531,1,1,0.015,0.025,1,1,0
7,43,16,27.47,2.5,51.96390253,1,1,0.015,0.025,1,1,0
7,44,16,29.37,2.5,51.04210595,1,1,0.015,0.025,1,1,0
7,45,16,31.26,2.5,50.06449727,1,1,0.015,0.025,1,1,0
7,46,16,33.16,2.5,49.03214146,1,1,0.015,0.025,1,1,0
7,47,7,35.05,2.5,47.94617311,1,1,0.015,0.025,1,1,0
7,48,17,36.95,2.5,17.46633269,1,1,0.015,0.025,1,1,0
7,49,17,40.74,2.5,6.120720211,1,1,0.015,0.025,1,1,0
7,50,14,42.63,2.5,28.36285565,1,1,0.015,0.025,1,1,0
7,51,14,44.53,2.5,41.75562224,1,1,0.015,0.025,1,1,0
7,52,14,46.42,2.5,40.37485249,1,1,0.015,0.025,1,1,0
7,53,12,48.32,2.5,38.94993605,1,1,0.015,0.025,1,1,0
7,54,12,50.21,2.5,35.23012918,1,1,0.015,0.025,1,1,0
7,55,17,52.11,2.5,4.871818102,1,1,0.015,0.025,1,1,0
7,56,15,-71.05,5,19.01737725,1,1,0.015,0.025,1,1,0
7,57,17,-69.16,5,2.480204218,1,1,0.015,0.025,1,1,0
7,58,17,4.74,5,14.38952407,1,1,0.015,0.025,1,1,0
7,59,2,6.63,5,47.90415634,1,1,0.015,0.025,1,1,0
7,60,8,8.53,5,57.92185385,1,1,0.015,0.025,1,1,0
7,61,9,10.42,5,57.60307447,1,1,0.015,0.025,1,1,0
7,62,9,12.32,5,57.2213027,1,1,0.015,0.025,1,1,0
7,63,10,14.21,5,56.77696863,1,1,0.015,0.025,1,1,0
7,64,10,16.11,5,56.2705433,1,1,0.015,0.025,1,1,0
7,65,16,18,5,55.70258786,1,1,0.015,0.025,1,1,0
7,66,16,19.89,5,55.07372491,1,1,0.015,0.025,1,1,0
7,67,16,21.79,5,54.38463437,1,1,0.015,0.025,1,1,0
7,68,16,23.68,5,53.6360822,1,1,0.015,0.025,1,1,0
7,69,16,25.58,5,52.82887531,1,1,0.015,0.025,1,1,0
7,70,16,27.47,5,51.96390253,1,1,0.015,0.025,1,1,0
7,71,16,29.37,5,51.04210595,1,1,0.015,0.025,1,1,0
7,72,16,31.26,5,50.06449727,1,1,0.015,0.025,1,1,0
7,73,16,33.16,5,49.03214146,1,1,0.015,0.025,1,1,0
7,74,16,35.05,5,47.94617311,1,1,0.015,0.025,1,1,0
7,75,17,36.95,5,24.21136111,1,1,0.015,0.025,1,1,0
7,76,17,42.63,5,4.832194935,1,1,0.015,0.025,1,1,0
7,77,14,44.53,5,41.75562224,1,1,0.015,0.025,1,1,0
7,78,14,46.42,5,40.37485249,1,1,0.015,0.025,1,1,0
7,79,12,48.32,5,38.94993605,1,1,0.015,0.025,1,1,0
7,80,12,50.21,5,37.48242531,1,1,0.015,0.025,1,1,0
7,81,12,52.11,5,19.8225259,1,1,0.015,0.025,1,1,0
7,82,17,54,5,0.21943497,1,1,0.015,0.025,1,1,0
7,83,17,57.79,5,0.128723172,1,1,0.015,0.025,1,1,0
7,84,17,59.68,5,7.972056351,1,1,0.015,0.025,1,1,0
7,85,17,61.58,5,9.340869368,1,1,0.015,0.025,1,1,0
7,86,15,-71.05,7.5,19.01737725,1,1,0.015,0.025,1,1,0
7,87,17,-69.16,7.5,2.480204218,1,1,0.015,0.025,1,1,0
7,88,17,-0.95,7.5,1.238451933,1,1,0.015,0.025,1,1,0
7,89,8,4.74,7.5,36.03069236,1,1,0.015,0.025,1,1,0
7,90,8,6.63,7.5,58.17729679,1,1,0.015,0.025,1,1,0
7,91,8,8.53,7.5,57.92185385,1,1,0.015,0.025,1,1,0
7,92,9,10.42,7.5,57.60307447,1,1,0.015,0.025,1,1,0
7,93,14,12.32,7.5,57.2213027,1,1,0.015,0.025,1,1,0
7,94,10,14.21,7.5,56.77696863,1,1,0.015,0.025,1,1,0
7,95,7,16.11,7.5,56.2705433,1,1,0.015,0.025,1,1,0
7,96,7,18,7.5,55.70258786,1,1,0.015,0.025,1,1,0
7,97,16,19.89,7.5,55.07372491,1,1,0.015,0.025,1,1,0
7,98,16,21.79,7.5,54.38463437,1,1,0.015,0.025,1,1,0
7,99,16,23.68,7.5,53.6360822,1,1,0.015,0.025,1,1,0
7,100,16,25.58,7.5,52.82887531,1,1,0.015,0.025,1,1,0
7,101,16,27.47,7.5,51.96390253,1,1,0.015,0.025,1,1,0
7,102,16,29.37,7.5,51.04210595,1,1,0.015,0.025,1,1,0
7,103,16,31.26,7.5,50.06449727,1,1,0.015,0.025,1,1,0
7,104,16,33.16,7.5,49.03214146,1,1,0.015,0.025,1,1,0
7,105,14,35.05,7.5,47.94617311,1,1,0.015,0.025,1,1,0
7,106,17,36.95,7.5,26.99038234,1,1,0.015,0.025,1,1,0
7,107,17,38.84,7.5,1.081350369,1,1,0.015,0.025,1,1,0
7,108,17,40.74,7.5,2.399605436,1,1,0.015,0.025,1,1,0
7,109,17,42.63,7.5,5.630099297,1,1,0.015,0.025,1,1,0
7,110,14,44.53,7.5,38.68435551,1,1,0.015,0.025,1,1,0
7,111,14,46.42,7.5,40.37485249,1,1,0.015,0.025,1,1,0
7,112,14,48.32,7.5,38.94993605,1,1,0.015,0.025,1,1,0
7,113,14,50.21,7.5,37.48242531,1,1,0.015,0.025,1,1,0
7,114,14,52.11,7.5,35.75574836,1,1,0.015,0.025,1,1,0
7,115,17,54,7.5,10.0283256,1,1,0.015,0.025,1,1,0
7,116,17,55.89,7.5,3.488690333,1,1,0.015,0.025,1,1,0
7,117,17,57.79,7.5,8.932859651,1,1,0.015,0.025,1,1,0
7,118,6,59.68,7.5,29.56369632,1,1,0.015,0.025,1,1,0
7,119,6,61.58,7.5,27.02201575,1,1,0.015,0.025,1,1,0
7,120,17,63.47,7.5,6.512431432,1,1,0.015,0.025,1,1,0
7,121,15,-71.05,10,19.01737725,1,1,0.015,0.025,1,1,0
7,122,17,-69.16,10,2.480204218,1,1,0.015,0.025,1,1,0
7,123,17,-4.74,10,1.675660753,1,1,0.015,0.025,1,1,0
7,124,17,-2.84,10,25.41685074,1,1,0.015,0.025,1,1,0
7,125,2,-0.95,10,43.46971218,1,1,0.015,0.025,1,1,0
7,126,2,0.95,10,40.99317644,1,1,0.015,0.025,1,1,0
7,127,2,2.84,10,40.95321587,1,1,0.015,0.025,1,1,0
7,128,8,4.74,10,51.66540654,1,1,0.015,0.025,1,1,0
7,129,8,6.63,10,58.17729679,1,1,0.015,0.025,1,1,0
7,130,8,8.53,10,57.92185385,1,1,0.015,0.025,1,1,0
7,131,9,10.42,10,57.60307447,1,1,0.015,0.025,1,1,0
7,132,14,12.32,10,57.2213027,1,1,0.015,0.025,1,1,0
7,133,10,14.21,10,56.77696863,1,1,0.015,0.025,1,1,0
7,134,16,16.11,10,56.2705433,1,1,0.015,0.025,1,1,0
7,135,16,18,10,55.70258786,1,1,0.015,0.025,1,1,0
7,136,16,19.89,10,55.07372491,1,1,0.015,0.025,1,1,0
7,137,16,21.79,10,54.38463437,1,1,0.015,0.025,1,1,0
7,138,16,23.68,10,53.6360822,1,1,0.015,0.025,1,1,0
7,139,16,25.58,10,52.82887531,1,1,0.015,0.025,1,1,0
7,140,16,27.47,10,51.96390253,1,1,0.015,0.025,1,1,0
7,141,16,29.37,10,51.04210595,1,1,0.015,0.025,1,1,0
7,142,16,31.26,10,50.06449727,1,1,0.015,0.025,1,1,0
7,143,16,33.16,10,41.12751295,1,1,0.015,0.025,1,1,0
7,144,17,35.05,10,37.69721954,1,1,0.015,0.025,1,1,0
7,145,17,36.95,10,22.25412033,1,1,0.015,0.025,1,1,0
7,146,17,38.84,10,6.836553535,1,1,0.015,0.025,1,1,0
7,147,17,40.74,10,9.250853626,1,1,0.015,0.025,1,1,0
