ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
    10, -72.95,   0.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
    12, -69.16,   0.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
    51,   4.74,   0.00, 0.51203, 0.33256, 0.15542, 0.17932, 0.27690, 0.42937,
    52,   6.63,   0.00, 0.51203, 0.33256, 0.15542, 0.17932, 0.27663, 0.42906,
    53,   8.53,   0.00, 0.50939, 0.26652, 0.22409, 0.14879, 0.26283, 0.42913,
    54,  10.42,   0.00, 0.39193, 0.44570, 0.16237, 0.22676, 0.31081, 0.44407,
    55,  12.32,   0.00, 0.55353, 0.24400, 0.20247, 0.13625, 0.25124, 0.42335,
    56,  14.21,   0.00, 0.65913, 0.12947, 0.21140, 0.09526, 0.20456, 0.40906,
    57,  16.11,   0.00, 0.81733, 0.08822, 0.09446, 0.09486, 0.17101, 0.38809,
    58,  18.00,   0.00, 0.61111, 0.16870, 0.22019, 0.10432, 0.22277, 0.41458,
    59,  19.89,   0.00, 0.25449, 0.13011, 0.61540, 0.17097, 0.25583, 0.45898,
    60,  21.79,   0.00, 0.62413, 0.11774, 0.25813, 0.10282, 0.20388, 0.41248,
    61,  23.68,   0.00, 0.39503, 0.11863, 0.48635, 0.14419, 0.23277, 0.44151,
    62,  25.58,   0.00, 0.39503, 0.11863, 0.48635, 0.14419, 0.23273, 0.44146,
    63,  27.47,   0.00, 0.39503, 0.11863, 0.48635, 0.14419, 0.23283, 0.44159,
    64,  29.37,   0.00, 0.90000, 0.05000, 0.05000, 0.09743, 0.14743, 0.37799,
    65,  31.26,   0.00, 0.50985, 0.24829, 0.24186, 0.14110, 0.25735, 0.42711,
    66,  33.16,   0.00, 0.35907, 0.23367, 0.40726, 0.15146, 0.27384, 0.44632,
    67,  35.05,   0.00, 0.43913, 0.25712, 0.30375, 0.15015, 0.26994, 0.43763,
    68,  36.95,   0.00, 0.43539, 0.26312, 0.30148, 0.15265, 0.27209, 0.43847,
    69,  38.84,   0.00, 0.29832, 0.24417, 0.45751, 0.16202, 0.28609, 0.45596,
    70,  40.74,   0.00, 0.29832, 0.24417, 0.45751, 0.16202, 0.28600, 0.45576,
    71,  42.63,   0.00, 0.37480, 0.23417, 0.39103, 0.14962, 0.27301, 0.44649,
    72,  44.53,   0.00, 0.69979, 0.06035, 0.23985, 0.12587, 0.17587, 0.40806,
    73,  46.42,   0.00, 0.33529, 0.22754, 0.43717, 0.15318, 0.27715, 0.45188,
    74,  48.32,   0.00, 0.33529, 0.22754, 0.43717, 0.15318, 0.27763, 0.45264,
    75,  50.21,   0.00, 0.39401, 0.22636, 0.37963, 0.14515, 0.26939, 0.44535,
    76,  52.11,   0.00, 0.58830, 0.23373, 0.17797, 0.12945, 0.24636, 0.42097,
    77,  54.00,   0.00, 0.55283, 0.26247, 0.18470, 0.14459, 0.25720, 0.42464,
   106, -72.95,   2.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   108, -69.16,   2.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   148,   6.63,   2.50, 0.34729, 0.46071, 0.19200, 0.22993, 0.32056, 0.45028,
   149,   8.53,   2.50, 0.35389, 0.48946, 0.15665, 0.24084, 0.32205, 0.44877,
   150,  10.42,   2.50, 0.35389, 0.48946, 0.15665, 0.24084, 0.32206, 0.44880,
   151,  12.32,   2.50, 0.81733, 0.08822, 0.09446, 0.09486, 0.17200, 0.38957,
   152,  14.21,   2.50, 0.81733, 0.08822, 0.09446, 0.09486, 0.17106, 0.38818,
   153,  16.11,   2.50, 0.81733, 0.08822, 0.09446, 0.09486, 0.17118, 0.38836,
   154,  18.00,   2.50, 0.25449, 0.13011, 0.61540, 0.17097, 0.25582, 0.45897,
   155,  19.89,   2.50, 0.75447, 0.10987, 0.13566, 0.08772, 0.18573, 0.39570,
   156,  21.79,   2.50, 0.75447, 0.10987, 0.13566, 0.08772, 0.18565, 0.39558,
   157,  23.68,   2.50, 0.75447, 0.10987, 0.13566, 0.08772, 0.18564, 0.39557,
   158,  25.58,   2.50, 0.39503, 0.11863, 0.48635, 0.14419, 0.23235, 0.44091,
   159,  27.47,   2.50, 0.39503, 0.11863, 0.48635, 0.14419, 0.23257, 0.44122,
   160,  29.37,   2.50, 0.21772, 0.18741, 0.59488, 0.16916, 0.28037, 0.46380,
   161,  31.26,   2.50, 0.90000, 0.05000, 0.05000, 0.09725, 0.14725, 0.37773,
   162,  33.16,   2.50, 0.50985, 0.24829, 0.24186, 0.14110, 0.25742, 0.42720,
   163,  35.05,   2.50, 0.41152, 0.24024, 0.34824, 0.14714, 0.26868, 0.44005,
   164,  36.95,   2.50, 0.43539, 0.26312, 0.30148, 0.15265, 0.27214, 0.43855,
   166,  40.74,   2.50, 0.37480, 0.23417, 0.39103, 0.14962, 0.27317, 0.44659,
   167,  42.63,   2.50, 0.37480, 0.23417, 0.39103, 0.14962, 0.27305, 0.44665,
   168,  44.53,   2.50, 0.46004, 0.23631, 0.30365, 0.14088, 0.26317, 0.43744,
   169,  46.42,   2.50, 0.46004, 0.23631, 0.30365, 0.14088, 0.26322, 0.43753,
   170,  48.32,   2.50, 0.33529, 0.22754, 0.43717, 0.15318, 0.27730, 0.45220,
   171,  50.21,   2.50, 0.39401, 0.22636, 0.37963, 0.14515, 0.26952, 0.44552,
   172,  52.11,   2.50, 0.53710, 0.27947, 0.18343, 0.15325, 0.26298, 0.42623,
   203, -71.05,   5.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   204, -69.16,   5.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   243,   4.74,   5.00, 0.49862, 0.28907, 0.21231, 0.15927, 0.27143, 0.43306,
   244,   6.63,   5.00, 0.37002, 0.45390, 0.17608, 0.22871, 0.31677, 0.44729,
   245,   8.53,   5.00, 0.35389, 0.48946, 0.15665, 0.24084, 0.32206, 0.44878,
   246,  10.42,   5.00, 0.21511, 0.67597, 0.10892, 0.27445, 0.36005, 0.46622,
   247,  12.32,   5.00, 0.31004, 0.51378, 0.17618, 0.24539, 0.33088, 0.45305,
   248,  14.21,   5.00, 0.69746, 0.15020, 0.15234, 0.09132, 0.20647, 0.40369,
   249,  16.11,   5.00, 0.87229, 0.09743, 0.03027, 0.08073, 0.16844, 0.38098,
   250,  18.00,   5.00, 0.25449, 0.13011, 0.61540, 0.17097, 0.25574, 0.45885,
   251,  19.89,   5.00, 0.75447, 0.10987, 0.13566, 0.08772, 0.18574, 0.39573,
   252,  21.79,   5.00, 0.75447, 0.10987, 0.13566, 0.08772, 0.18519, 0.39490,
   253,  23.68,   5.00, 0.75447, 0.10987, 0.13566, 0.08772, 0.18513, 0.39482,
   254,  25.58,   5.00, 0.90000, 0.05000, 0.05000, 0.09682, 0.14682, 0.37709,
   255,  27.47,   5.00, 0.22547, 0.18687, 0.58767, 0.16753, 0.27909, 0.46289,
   256,  29.37,   5.00, 0.90000, 0.05000, 0.05000, 0.09737, 0.14737, 0.37790,
   257,  31.26,   5.00, 0.50985, 0.24829, 0.24186, 0.14110, 0.25740, 0.42717,
   258,  33.16,   5.00, 0.50985, 0.24829, 0.24186, 0.14110, 0.25735, 0.42711,
   259,  35.05,   5.00, 0.41152, 0.24024, 0.34824, 0.14714, 0.26857, 0.43989,
   260,  36.95,   5.00, 0.44330, 0.26448, 0.29222, 0.15252, 0.27120, 0.43733,
   263,  42.63,   5.00, 0.52472, 0.27128, 0.20400, 0.15005, 0.26182, 0.42721,
   264,  44.53,   5.00, 0.32524, 0.23556, 0.43920, 0.15638, 0.28039, 0.45314,
   265,  46.42,   5.00, 0.50411, 0.25639, 0.23950, 0.14484, 0.26176, 0.43093,
   266,  48.32,   5.00, 0.46603, 0.25059, 0.28338, 0.14546, 0.26471, 0.43524,
   267,  50.21,   5.00, 0.51087, 0.21110, 0.27803, 0.12728, 0.24936, 0.43016,
   268,  52.11,   5.00, 0.62376, 0.10036, 0.27589, 0.11215, 0.20332, 0.42109,
   269,  54.00,   5.00, 0.31205, 0.27204, 0.41591, 0.16731, 0.29292, 0.45755,
   271,  57.79,   5.00, 0.64008, 0.14963, 0.21029, 0.09774, 0.21527, 0.41567,
   272,  59.68,   5.00, 0.61812, 0.14987, 0.23202, 0.10049, 0.21820, 0.41941,
   273,  61.58,   5.00, 0.61812, 0.14987, 0.23202, 0.10049, 0.21816, 0.41935,
   299, -71.05,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   300, -69.16,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   336,  -0.95,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   339,   4.74,   7.50, 0.40566, 0.43369, 0.16065, 0.22263, 0.30952, 0.44381,
   340,   6.63,   7.50, 0.46133, 0.34986, 0.18881, 0.18759, 0.28699, 0.43583,
   341,   8.53,   7.50, 0.51797, 0.25688, 0.22515, 0.14412, 0.25953, 0.42815,
   342,  10.42,   7.50, 0.38248, 0.47530, 0.14222, 0.23782, 0.31682, 0.44492,
   343,  12.32,   7.50, 0.62083, 0.30281, 0.07636, 0.16362, 0.25477, 0.41377,
   344,  14.21,   7.50, 0.87229, 0.09743, 0.03027, 0.08073, 0.16853, 0.38111,
   345,  16.11,   7.50, 0.74243, 0.07785, 0.17972, 0.11950, 0.17519, 0.39763,
