Lat	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	FALL	FALL	FALL	FALL	FALL	FALL	FALL	FALL	FALL	FALL	FALL	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1
	3	4	5	6	7	8	9	10	12	14	18	3	4	5	6	7	8	9	10	12	14	18	3	4	5	6	7	8	9	10	12	14	18
79.75	167	156	161	162	184	178	172	184	145	146	184	231	231	232	235	229	225	211	229	230	233	229	0	0	0	0	0	0	0	0	0	0	0
79.25	167	156	161	162	184	178	172	184	145	146	184	231	231	232	235	229	225	211	229	230	233	229	0	0	0	0	0	0	0	0	0	0	0
78.75	167	156	161	162	184	178	172	184	145	146	184	231	231	232	235	229	225	211	229	230	233	229	0	0	0	0	0	0	0	0	0	0	0
78.25	167	156	161	162	184	178	172	184	145	146	184	231	231	232	235	229	225	211	229	230	233	229	0	0	0	0	0	0	0	0	0	0	0
77.75	167	156	161	162	184	178	172	184	145	146	184	231	231	232	235	229	225	211	229	230	233	229	0	0	0	0	0	0	0	0	0	0	0
77.25	167	156	161	162	184	178	172	184	145	146	184	231	231	232	235	229	227	211	229	230	233	229	0	0	0	0	0	0	0	0	0	0	0
76.75	167	156	161	162	184	178	172	184	145	146	184	231	231	232	235	229	230	223	230	230	233	229	0	0	0	0	0	0	0	0	0	0	0
76.25	167	156	161	162	184	178	172	184	145	146	184	231	231	232	235	230	231	227	230	230	233	230	0	0	0	0	0	0	0	0	0	0	0
75.75	167	156	161	162	184	178	172	184	145	146	184	231	231	232	235	230	232	229	231	230	233	230	0	0	0	0	0	0	0	0	0	0	0
75.25	167	156	161	162	185	178	172	185	145	146	185	231	231	232	235	231	232	229	232	230	233	231	0	0	0	0	0	0	0	0	0	0	0
74.75	167	156	161	162	185	178	172	185	145	146	185	231	231	232	235	231	233	233	232	230	233	231	0	0	0	0	0	0	0	0	0	0	0
74.25	167	156	161	162	185	178	172	184	145	146	185	231	231	232	235	232	233	233	232	230	233	232	0	0	0	0	0	0	0	0	0	0	0
