lsmlon,lsmlat,LANDFRAC_P,LONGXY,LATIXY,IGBP,WRTCELL
1,1,1,0,-90,15,0
1,2,1,0,-88.1,15,0
1,3,1,0,-86.2,15,0
1,4,1,0,-84.3,15,0
1,5,1,0,-82.4,15,0
1,6,1,0,-80.5,15,0
1,7,1,0,-78.6,15,0
1,8,1,0,-76.7,15,0
1,9,1,0,-74.8,15,0
1,10,1,0,-72.9,15,0
1,11,1,0,-71.1,15,0
1,12,1,0,-69.2,17,0
1,13,0,0,-67.3,17,0
1,14,0,0,-65.4,17,0
1,15,0,0,-63.5,17,0
1,16,0,0,-61.6,17,0
1,17,0,0,-59.7,17,0
1,18,0,0,-57.8,17,0
1,19,0,0,-55.9,17,0
1,20,0,0,-54,17,0
1,21,0,0,-52.1,17,0
1,22,0,0,-50.2,17,0
1,23,0,0,-48.3,17,0
1,24,0,0,-46.4,17,0
1,25,0,0,-44.5,17,0
1,26,0,0,-42.6,17,0
1,27,0,0,-40.7,17,0
1,28,0,0,-38.8,17,0
1,29,0,0,-36.9,17,0
1,30,0,0,-35.1,17,0
1,31,0,0,-33.2,17,0
1,32,0,0,-31.3,17,0
1,33,0,0,-29.4,17,0
1,34,0,0,-27.5,17,0
1,35,0,0,-25.6,17,0
1,36,0,0,-23.7,17,0
1,37,0,0,-21.8,17,0
1,38,0,0,-19.9,17,0
1,39,0,0,-18,17,0
1,40,0,0,-16.1,17,0
1,41,0,0,-14.2,17,0
1,42,0,0,-12.3,17,0
1,43,0,0,-10.4,17,0
1,44,0,0,-8.5,17,0
1,45,0,0,-6.6,17,0
1,46,0,0,-4.7,17,0
1,47,0,0,-2.8,17,0
1,48,0,0,-0.9,17,0
1,49,0,0,0.9,17,0
1,50,0,0,2.8,17,0
1,51,0,0,4.7,17,0
1,52,1,0,6.6,8,0
1,53,1,0,8.5,8,0
1,54,1,0,10.4,9,0
1,55,1,0,12.3,9,0
1,56,1,0,14.2,10,0
1,57,1,0,16.1,7,0
1,58,1,0,18,16,0
1,59,1,0,19.9,16,0
1,60,1,0,21.8,16,0
1,61,1,0,23.7,16,0
1,62,1,0,25.6,16,0
1,63,1,0,27.5,16,0
1,64,1,0,29.4,16,0
1,65,1,0,31.3,16,0
1,66,1,0,33.2,16,0
1,67,1,0,35.1,14,0
1,68,0,0,36.9,17,0
1,69,1,0,38.8,17,0
1,70,1,0,40.7,12,0
1,71,1,0,42.6,14,0
1,72,1,0,44.5,14,0
1,73,1,0,46.4,14,0
1,74,1,0,48.3,12,0
1,75,1,0,50.2,17,0
1,76,1,0,52.1,12,0
1,77,1,0,54,17,0
1,78,0,0,55.9,17,0
1,79,0,0,57.8,17,0
1,80,0,0,59.7,17,0
1,81,0,0,61.6,17,0
1,82,0,0,63.5,17,0
1,83,0,0,65.4,17,0
1,84,0,0,67.3,17,0
1,85,0,0,69.2,17,0
1,86,0,0,71.1,17,0
1,87,0,0,72.9,17,0
1,88,0,0,74.8,17,0
1,89,0,0,76.7,17,0
1,90,0,0,78.6,17,0
1,91,0,0,80.5,17,0
1,92,0,0,82.4,17,0
1,93,0,0,84.3,17,0
1,94,0,0,86.2,17,0
1,95,0,0,88.1,17,0
1,96,0,0,90,17,0
2,1,1,2.5,-90,15,0
2,2,1,2.5,-88.1,15,0
2,3,1,2.5,-86.2,15,0
2,4,1,2.5,-84.3,15,0
2,5,1,2.5,-82.4,15,0
2,6,1,2.5,-80.5,15,0
2,7,1,2.5,-78.6,15,0
2,8,1,2.5,-76.7,15,0
2,9,1,2.5,-74.8,15,0
2,10,1,2.5,-72.9,15,0
2,11,1,2.5,-71.1,15,0
2,12,0,2.5,-69.2,17,0
2,13,0,2.5,-67.3,17,0
2,14,0,2.5,-65.4,17,0
2,15,0,2.5,-63.5,17,0
2,16,0,2.5,-61.6,17,0
2,17,0,2.5,-59.7,17,0
2,18,0,2.5,-57.8,17,0
2,19,0,2.5,-55.9,17,0
2,20,0,2.5,-54,17,0
2,21,0,2.5,-52.1,17,0
2,22,0,2.5,-50.2,17,0
2,23,0,2.5,-48.3,17,0
2,24,0,2.5,-46.4,17,0
2,25,0,2.5,-44.5,17,0
2,26,0,2.5,-42.6,17,0
2,27,0,2.5,-40.7,17,0
2,28,0,2.5,-38.8,17,0
2,29,0,2.5,-36.9,17,0
2,30,0,2.5,-35.1,17,0
2,31,0,2.5,-33.2,17,0
2,32,0,2.5,-31.3,17,0
2,33,0,2.5,-29.4,17,0
2,34,0,2.5,-27.5,17,0
2,35,0,2.5,-25.6,17,0
2,36,0,2.5,-23.7,17,0
2,37,0,2.5,-21.8,17,0
2,38,0,2.5,-19.9,17,0
2,39,0,2.5,-18,17,0
2,40,0,2.5,-16.1,17,0
2,41,0,2.5,-14.2,17,0
2,42,0,2.5,-12.3,17,0
2,43,0,2.5,-10.4,17,0
2,44,0,2.5,-8.5,17,0
2,45,0,2.5,-6.6,17,0
2,46,0,2.5,-4.7,17,0
2,47,0,2.5,-2.8,17,0
2,48,0,2.5,-0.9,17,0
2,49,0,2.5,0.9,17,0
2,50,0,2.5,2.8,17,0
2,51,0,2.5,4.7,17,0
2,52,1,2.5,6.6,8,0
2,53,1,2.5,8.5,8,0
2,54,1,2.5,10.4,8,0
2,55,1,2.5,12.3,9,0
2,56,1,2.5,14.2,10,0
2,57,1,2.5,16.1,7,0
2,58,1,2.5,18,16,0
2,59,1,2.5,19.9,16,0
2,60,1,2.5,21.8,16,0
2,61,1,2.5,23.7,16,0
2,62,1,2.5,25.6,16,0
2,63,1,2.5,27.5,16,0
2,64,1,2.5,29.4,16,0
2,65,1,2.5,31.3,16,0
2,66,1,2.5,33.2,16,0
2,67,1,2.5,35.1,7,0
2,68,1,2.5,36.9,17,0
2,69,0,2.5,38.8,17,0
2,70,0,2.5,40.7,17,0
2,71,1,2.5,42.6,14,0
2,72,1,2.5,44.5,14,0
2,73,1,2.5,46.4,14,0
2,74,1,2.5,48.3,12,0
2,75,1,2.5,50.2,12,0
2,76,0,2.5,52.1,17,0
2,77,0,2.5,54,17,0
2,78,0,2.5,55.9,17,0
2,79,0,2.5,57.8,17,0
2,80,0,2.5,59.7,17,0
2,81,0,2.5,61.6,17,0
2,82,0,2.5,63.5,17,0
2,83,0,2.5,65.4,17,0
2,84,0,2.5,67.3,17,0
